"match_id","match_name","match_date","match_startdate_utc","round_name","round_number","round_code","match_status_code","match_type_code","season_id","competition_id","venue_id","venue_code","venue_name","home_squad_id","home_squad_code","home_squad_name","home_squad_score_goals","home_squad_score_behinds","home_squad_score_points","away_squad_id","away_squad_code","away_squad_name","away_squad_score_goals","away_squad_score_behinds","away_squad_score_points","person_id","person_fullname","person_displayname","jumpernumber","player_squad_id","player_squad_code","age_match","selected_position_code","selected_position_name","player_id","player_firstname","player_surname","player_dob","player_height","player_jumpernumber","participation_position_code","match_played","player_position_id","position_name","position_code","disposals","kicks","handballs","marks","tackles","clearances","free_kicks","pressure_acts","inside_50s","rebound_50s","metres_gained","turnovers","goals","behinds","time_on_ground"
"183160337","Carlton v Geelong Cats","2026-02-25T00:00:00Z","2026-02-25T08:10:00Z","Pre-Season Round 1","1","P01","COMP","REG","2026","2026012989","50","IKP","Ikon Park","30","CARL","Carlton","13","8","86","70","GEEL","Geelong Cats","11","5","71","295461","Adam Saad","A.Saad","42","30","CARL","31.60","HBF","Half Back Flank","295461","Adam","Saad","1994-07-23T00:00:00Z","178","","","","","","","","","","","","","","","","","","","","",""
"183160337","Carlton v Geelong Cats","2026-02-25T00:00:00Z","2026-02-25T08:10:00Z","Pre-Season Round 1","1","P01","COMP","REG","2026","2026012989","50","IKP","Ikon Park","30","CARL","Carlton","13","8","86","70","GEEL","Geelong Cats","11","5","71","1020097","Ashton Moir","A.Moir","43","30","CARL","20.90","FFP","Forward Pocket","1020097","Ashton","Moir","2005-04-15T00:00:00Z","188","","","","","","","","","","","","","","","","","","","","",""
"183160337","Carlton v Geelong Cats","2026-02-25T00:00:00Z","2026-02-25T08:10:00Z","Pre-Season Round 1","1","P01","COMP","REG","2026","2026012989","50","IKP","Ikon Park","30","CARL","Carlton","13","8","86","70","GEEL","Geelong Cats","11","5","71","1017255","Francis Evans","F.Evans","44","30","CARL","24.50","INT","Interchange","1017255","Francis","Evans","2001-08-23T00:00:00Z","182","","","","","","","","","","","","","","","","","","","","",""
"183160337","Carlton v Geelong Cats","2026-02-25T00:00:00Z","2026-02-25T08:10:00Z","Pre-Season Round 1","1","P01","COMP","REG","2026","2026012989","50","IKP","Ikon Park","30","CARL","Carlton","13","8","86","70","GEEL","Geelong Cats","11","5","71","1016140","Wade Derksen","W.Derksen","47","30","CARL","24.70","CHB","Centre Half Back","1016140","Wade","Derksen","2001-06-18T00:00:00Z","195","","","","","","","","","","","","","","","","","","","","",""
"183160337","Carlton v Geelong Cats","2026-02-25T00:00:00Z","2026-02-25T08:10:00Z","Pre-Season Round 1","1","P01","COMP","REG","2026","2026012989","50","IKP","Ikon Park","30","CARL","Carlton","13","8","86","70","GEEL","Geelong Cats","11","5","71","1027428","Jay Polkinghorne","J.Polkinghorne","2","70","GEEL","19.70","FFP","Forward Pocket","1027428","Jay","Polkinghorne","2006-06-02T00:00:00Z","190","","","","","","","","","","","","","","","","","","","","",""
"183160337","Carlton v Geelong Cats","2026-02-25T00:00:00Z","2026-02-25T08:10:00Z","Pre-Season Round 1","1","P01","COMP","REG","2026","2026012989","50","IKP","Ikon Park","30","CARL","Carlton","13","8","86","70","GEEL","Geelong Cats","11","5","71","1012805","Tanner Bruhn","T.Bruhn","4","70","GEEL","23.80","CHB","Centre Half Back","1012805","Tanner","Bruhn","2002-05-27T00:00:00Z","184","","","","","","","","","","","","","","","","","","","","",""
"183160337","Carlton v Geelong Cats","2026-02-25T00:00:00Z","2026-02-25T08:10:00Z","Pre-Season Round 1","1","P01","COMP","REG","2026","2026012989","50","IKP","Ikon Park","30","CARL","Carlton","13","8","86","70","GEEL","Geelong Cats","11","5","71","993878","Shaun Mannagh","S.Mannagh","7","70","GEEL","28.60","CHF","Centre Half Forward","993878","Shaun","Mannagh","1997-08-06T00:00:00Z","178","","","","","","","","","","","","","","","","","","","","",""
"183160337","Carlton v Geelong Cats","2026-02-25T00:00:00Z","2026-02-25T08:10:00Z","Pre-Season Round 1","1","P01","COMP","REG","2026","2026012989","50","IKP","Ikon Park","30","CARL","Carlton","13","8","86","70","GEEL","Geelong Cats","11","5","71","1015889","Max Holmes","M.Holmes","9","70","GEEL","23.50","OB","On Ball","1015889","Max","Holmes","2002-08-29T00:00:00Z","190","","","","","","","","","","","","","","","","","","","","",""
"183160337","Carlton v Geelong Cats","2026-02-25T00:00:00Z","2026-02-25T08:10:00Z","Pre-Season Round 1","1","P01","COMP","REG","2026","2026012989","50","IKP","Ikon Park","30","CARL","Carlton","13","8","86","70","GEEL","Geelong Cats","11","5","71","1021103","Mitch Knevitt","M.Knevitt","10","70","GEEL","23.10","INT","Interchange","1021103","Mitch","Knevitt","2003-01-08T00:00:00Z","193","","","","","","","","","","","","","","","","","","","","",""
"183160337","Carlton v Geelong Cats","2026-02-25T00:00:00Z","2026-02-25T08:10:00Z","Pre-Season Round 1","1","P01","COMP","REG","2026","2026012989","50","IKP","Ikon Park","30","CARL","Carlton","13","8","86","70","GEEL","Geelong Cats","11","5","71","1024304","Mitchell Edwards","M.Edwards","11","70","GEEL","20.70","INT","Interchange","1024304","Mitchell","Edwards","2005-06-02T00:00:00Z","206","","","","","","","","","","","","","","","","","","","","",""
